Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [Pink Tamu Swahili Cafe & Restaurant],Price [Pink Tamu Swahili Cafe & Restaurant],In stock [Pink Tamu Swahili Cafe & Restaurant],Low stock [Pink Tamu Swahili Cafe & Restaurant]
spaghetti,SPG17,Spaghetti,Food,,N,,,,,,,0.00,,,,N,Y,200.00,,
steak-platter-special,STE99,Special Steak Platter,Food,,N,,,,,,,0.00,,,,N,Y,variable,,
spinach,SPI38,Spinach,Food,,N,,,,,,,0.00,,,,N,Y,100.00,,
sportsman,CIG37,Sportsman (Rothmans)🚬,Cigarettes,,N,,,,,,,23.50,6008165036296,,,Y,Y,30.00,9.000,8.000
"sprite,-1l",SPR19,"Sprite, 1L",Nonalc Drinks,,N,,,,,,,100.00,,,,Y,Y,205.00,0.000,
"sprite,-2l",SPR74,"Sprite, 2L",Nonalc Drinks,,N,,,,,,,200.00,,,,Y,Y,360.00,2.000,1.000
sprite,SPR22,"Sprite, 300ml",Nonalc Drinks,<p>300ml glass bottle</p>,N,,,,,,,40.00,,,,Y,Y,110.00,6.000,4.000
steel-wool,STE43,Steel Wool,General,<p>Steel Wire</p>,N,,,,,,,9.00,,,,N,Y,15.00,,
stoney,STO33,"Stoney, 300ml",Nonalc Drinks,<p>300ml glass bottle</p>,N,,,,,,,33.00,,,,Y,Y,100.00,5.000,3.000
straw,STRAW,Straw,General,,N,,,,,,,1.20,,,,Y,Y,2.50,92.000,16.000
strepsils,STR36,Strepsils,Medical,,N,,,,,,,10.00,,,,Y,Y,25.00,32.000,
sugar-(per-gram),SUG25,Sugar (per gram),General,,Y,,,,,,,0.00,,,,N,Y,2.50,,
sugar-sachet,SUG09,Sugar Sachet,General,,N,,,,,,,0.00,,,,N,Y,20.00,,
sunlight-soap,SUN10,Sunlight Soap,General,,N,,,,,,,30.00,,,,Y,Y,65.00,1.000,
"sunset-strawberry-wafer-cubes,-125g",WAF78,"Sunveat Strawberry Wafer Cubes, 125g",Snacks,,N,,,,,,,149.00,,,,Y,Y,235.00,1.000,
swahili-cooking-class,SRV06,Swahili Cooking Class,Services,,N,,,,,,,0.00,,,,N,Y,variable,,
sweet-potato,SWE43,Sweet Potato,Food,,N,,,,,,,40.00,,,,N,Y,130.00,,
sweets,SWE37,Sweets,General,,N,,,,,,,2.00,,,,Y,Y,2.50,1620.000,
tampon,TAM52,"Tampon, Kotex",General,<p>Kotex</p>,N,,,,,,,28.00,,,,N,Y,50.00,,
tea---black,TEA13,Tea - Black,Nonalc Drinks,<p>chai</p>,N,,,,,,,0.00,,,,N,Y,50.00,,
